#stages0 = writecat:docker:DR9.6.7
#stages1 = srcs:docker:DR9.6.5 writecat:docker:DR9.6.5b
#stages2 = writecat:docker:DR9.6.7b
#stages3 = writecat:docker:DR9.6.8
#stages4 = writecat:docker:DR9.6.5
#stages5 = srcs:docker:DR9.6.5 writecat:docker:DR9.6.7b
3216p010 file0_rs0_skip0 stages0
3216p012 file0_rs0_skip0 stages5
3216p015 file0_rs0_skip0 stages5
3216p017 file0_rs0_skip0 stages5
3216p020 file0_rs0_skip0 stages5
3216p022 file0_rs0_skip0 stages5
3216p025 file0_rs0_skip0 stages5
3216p027 file0_rs0_skip0 stages5
3216p030 file0_rs0_skip0 stages5
3216p062 file0_rs0_skip0 stages5
3216p065 file0_rs0_skip0 stages5
3216p067 file0_rs0_skip0 stages5
3216p070 file0_rs0_skip0 stages4
3217m045 file0_rs0_skip0 stages4
3217m047 file0_rs0_skip0 stages4
3217m050 file0_rs0_skip0 stages4
3217m052 file0_rs0_skip0 stages4
3217m055 file0_rs0_skip0 stages5
3217m057 file0_rs0_skip0 stages5
3217m060 file0_rs0_skip0 stages5
3217p050 file0_rs0_skip0 stages4
3217p052 file0_rs0_skip0 stages4
3217p055 file0_rs0_skip0 stages5
3217p057 file0_rs0_skip0 stages5
3217p060 file0_rs0_skip0 stages4
3218m002 file0_rs0_skip0 stages5
3218m005 file0_rs0_skip0 stages5
3218m007 file0_rs0_skip0 stages5
3218m010 file0_rs0_skip0 stages5
3218m017 file0_rs0_skip0 stages5
3218m020 file0_rs0_skip0 stages5
3218m022 file0_rs0_skip0 stages5
3218m025 file0_rs0_skip0 stages5
3218m027 file0_rs0_skip0 stages5
3218m030 file0_rs0_skip0 stages5
3218m032 file0_rs0_skip0 stages5
3218m035 file0_rs0_skip0 stages4
3218m037 file0_rs0_skip0 stages4
3218m040 file0_rs0_skip0 stages5
3218m042 file0_rs0_skip0 stages4
3218m070 file0_rs0_skip0 stages5
3218m072 file0_rs0_skip0 stages5
3218m075 file0_rs0_skip0 stages5
3218m077 file0_rs0_skip0 stages5
3218p000 file0_rs0_skip0 stages5
3218p002 file0_rs0_skip0 stages5
3218p005 file0_rs0_skip0 stages5
3218p007 file0_rs0_skip0 stages5
3218p010 file0_rs0_skip0 stages5
3218p012 file0_rs0_skip0 stages5
3218p015 file0_rs0_skip0 stages5
3218p017 file0_rs0_skip0 stages5
3218p020 file0_rs0_skip0 stages5
3218p022 file0_rs0_skip0 stages5
3218p025 file0_rs0_skip0 stages5
3218p027 file0_rs0_skip0 stages5
3218p030 file0_rs0_skip0 stages5
3218p032 file0_rs0_skip0 stages5
3218p035 file0_rs0_skip0 stages5
3218p037 file0_rs0_skip0 stages5
3218p040 file0_rs0_skip0 stages5
3219m055 file0_rs0_skip0 stages5
3219m057 file0_rs0_skip0 stages5
3219m060 file0_rs0_skip0 stages5
3219m062 file0_rs0_skip0 stages5
3219m065 file0_rs0_skip0 stages5
3219m067 file0_rs0_skip0 stages5
3219p055 file0_rs0_skip0 stages5
3219p057 file0_rs0_skip0 stages5
3219p060 file0_rs0_skip0 stages4
3219p062 file0_rs0_skip0 stages5
3219p065 file0_rs0_skip0 stages5
3219p067 file0_rs0_skip0 stages5
3220m032 file0_rs0_skip0 stages5
3220m035 file0_rs0_skip0 stages5
3220m037 file0_rs0_skip0 stages4
3220m040 file0_rs0_skip0 stages5
3220m042 file0_rs0_skip0 stages4
3220m045 file0_rs0_skip0 stages5
3220m047 file0_rs0_skip0 stages5
3220m050 file0_rs0_skip0 stages4
3220m052 file0_rs0_skip0 stages4
3220m077 file0_rs0_skip0 stages5
3220m080 file0_rs0_skip0 stages5
3220p032 file0_rs0_skip0 stages5
3220p035 file0_rs0_skip0 stages5
3220p037 file0_rs0_skip0 stages5
3220p040 file0_rs0_skip0 stages5
3220p047 file0_rs0_skip0 stages5
3220p050 file0_rs0_skip0 stages5
3220p052 file0_rs0_skip0 stages5
3221m005 file0_rs0_skip0 stages5
3221m007 file0_rs0_skip0 stages5
3221m010 file0_rs0_skip0 stages5
3221m012 file0_rs0_skip0 stages5
3221m020 file0_rs0_skip0 stages5
3221m022 file0_rs0_skip0 stages5
3221m025 file0_rs0_skip0 stages5
3221m027 file0_rs0_skip0 stages5
